,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,time
3908,1.0,0.0,56.0,57.0,1.0,0.0,1.0,0.0,2,15.0
5167,0.0,0.0,50.0,28.0,0.0,2.0,0.0,0.0,1,15.0
120,1.0,0.0,21.0,12.0,0.0,0.0,0.0,0.0,2,1.0
1794,0.0,0.0,123.0,81.0,0.0,1.0,0.0,0.0,1,15.0
3822,0.0,0.0,44.0,24.0,1.0,0.0,1.0,0.0,3,11.0
5972,0.0,0.0,15.0,23.0,4.0,1.0,0.0,0.0,2,15.0
2157,1.0,0.0,138.0,77.0,0.0,0.0,0.0,0.0,2,15.0
4896,0.0,0.0,16.0,6.0,1.0,0.0,1.0,0.0,2,4.0
4540,1.0,0.0,14.0,8.0,0.0,0.0,1.0,0.0,2,3.0
134,0.0,0.0,77.0,87.0,2.0,0.0,0.0,0.0,1,25.0
6569,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,3,3.0
3949,0.0,0.0,77.0,38.0,0.0,0.0,0.0,0.0,4,11.0
3777,0.0,0.0,19.0,5.0,2.0,0.0,0.0,0.0,1,2.0
5198,0.0,0.0,17.0,14.0,3.0,0.0,1.0,0.0,1,6.0
2583,0.0,0.0,16.0,17.0,1.0,0.0,1.0,0.0,3,6.0
62,1.0,0.0,35.0,47.0,0.0,0.0,0.0,0.0,2,8.0
4856,1.0,0.0,20.0,15.0,1.0,0.0,0.0,0.0,3,4.0
6478,0.0,0.0,10.0,36.0,3.0,1.0,1.0,0.0,2,8.0
3883,1.0,0.0,25.0,11.0,2.0,1.0,0.0,0.0,2,7.0
3818,0.0,1.0,93.0,84.0,1.0,0.0,0.0,0.0,3,15.0
2491,0.0,0.0,60.0,26.0,2.0,0.0,0.0,0.0,1,15.0
686,1.0,0.0,29.0,5.0,0.0,0.0,1.0,1.0,2,9.0
6392,0.0,0.0,26.0,35.0,5.0,3.0,6.0,3.0,2,15.0
748,1.0,0.0,45.0,39.0,0.0,0.0,0.0,0.0,2,8.0
1220,0.0,0.0,75.0,58.0,0.0,0.0,0.0,0.0,4,15.0
2192,1.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,2,1.0
4116,1.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,2,4.0
6300,0.0,0.0,18.0,6.0,3.0,0.0,1.0,1.0,2,6.0
4946,1.0,0.0,16.0,13.0,1.0,0.0,0.0,0.0,2,4.0
571,0.0,0.0,51.0,53.0,1.0,0.0,1.0,0.0,1,6.0
1891,0.0,0.0,48.0,26.0,2.0,1.0,1.0,0.0,2,15.0
6411,2.0,0.0,32.0,5.0,0.0,0.0,0.0,0.0,3,6.0
2620,0.0,0.0,58.0,92.0,0.0,1.0,0.0,1.0,2,15.0
1732,0.0,0.0,123.0,136.0,2.0,0.0,0.0,0.0,3,15.0
2869,0.0,0.0,104.0,57.0,1.0,0.0,0.0,0.0,2,9.0
1404,0.0,0.0,105.0,83.0,2.0,1.0,3.0,0.0,1,15.0
5581,0.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,3,4.0
3133,1.0,0.0,71.0,49.0,0.0,0.0,0.0,0.0,2,15.0
4034,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2,1.0
5447,0.0,0.0,9.0,1.0,1.0,0.0,2.0,0.0,3,3.0
492,0.0,0.0,26.0,12.0,2.0,1.0,1.0,0.0,1,9.0
496,0.0,0.0,56.0,39.0,0.0,2.0,0.0,0.0,1,15.0
697,0.0,0.0,57.0,66.0,5.0,0.0,1.0,0.0,2,13.0
5161,0.0,0.0,50.0,10.0,3.0,1.0,1.0,1.0,1,8.0
608,0.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,2,4.0
1929,0.0,0.0,74.0,34.0,0.0,2.0,0.0,0.0,1,15.0
6761,0.0,0.0,54.0,16.0,2.0,2.0,0.0,0.0,2,15.0
3407,0.0,0.0,72.0,69.0,0.0,1.0,0.0,0.0,1,15.0
7110,1.0,0.0,80.0,35.0,0.0,0.0,0.0,0.0,3,15.0
5266,0.0,0.0,68.0,71.0,4.0,3.0,0.0,0.0,1,15.0
5008,0.0,0.0,33.0,5.0,0.0,1.0,0.0,0.0,2,2.0
4888,1.0,0.0,61.0,58.0,8.0,0.0,0.0,0.0,2,15.0
7464,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,4,0.0
2390,0.0,0.0,30.0,31.0,0.0,0.0,0.0,0.0,3,15.0
1196,1.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,1,6.0
277,1.0,0.0,75.0,112.0,0.0,0.0,0.0,0.0,2,15.0
4220,1.0,1.0,51.0,29.0,1.0,0.0,0.0,0.0,2,15.0
4290,0.0,0.0,67.0,47.0,0.0,3.0,0.0,0.0,3,15.0
1373,1.0,1.0,100.0,57.0,3.0,0.0,1.0,1.0,2,13.0
4922,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2,0.0
1539,1.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,3,1.0
3683,0.0,0.0,33.0,28.0,2.0,0.0,0.0,0.0,2,15.0
3863,1.0,0.0,30.0,12.0,0.0,0.0,0.0,0.0,3,4.0
7347,0.0,0.0,13.0,9.0,3.0,0.0,0.0,1.0,4,8.0
3573,0.0,0.0,44.0,11.0,0.0,0.0,0.0,0.0,2,4.0
6123,1.0,2.0,42.0,25.0,0.0,0.0,2.0,0.0,4,14.0
6987,0.0,0.0,8.0,2.0,1.0,0.0,0.0,2.0,2,2.0
1348,0.0,0.0,186.0,107.0,4.0,0.0,0.0,0.0,3,25.0
954,0.0,0.0,14.0,21.0,3.0,1.0,0.0,0.0,1,15.0
7267,1.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,4,3.0
2274,1.0,0.0,114.0,69.0,1.0,0.0,0.0,1.0,2,15.0
5849,0.0,0.0,116.0,15.0,2.0,0.0,0.0,0.0,2,15.0
4380,1.0,0.0,31.0,21.0,2.0,2.0,0.0,0.0,2,15.0
3385,1.0,0.0,31.0,28.0,2.0,0.0,0.0,1.0,2,15.0
2370,1.0,0.0,89.0,47.0,0.0,0.0,0.0,0.0,2,12.0
68,1.0,0.0,33.0,11.0,1.0,0.0,0.0,0.0,4,6.0
5938,1.0,0.0,57.0,1.0,1.0,1.0,2.0,0.0,3,9.0
6415,1.0,0.0,67.0,16.0,2.0,0.0,1.0,1.0,3,13.0
6427,0.0,0.0,16.0,21.0,1.0,2.0,1.0,0.0,2,8.0
1612,1.0,0.0,15.0,7.0,0.0,1.0,0.0,0.0,1,5.0
4503,1.0,0.0,72.0,25.0,0.0,0.0,0.0,0.0,1,15.0
6480,0.0,0.0,8.0,8.0,0.0,2.0,0.0,0.0,2,5.0
6547,1.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,3,1.0
1516,0.0,0.0,36.0,33.0,0.0,4.0,1.0,2.0,2,15.0
6878,0.0,0.0,25.0,6.0,8.0,0.0,0.0,3.0,3,7.0
150,1.0,0.0,64.0,31.0,4.0,0.0,1.0,0.0,3,9.0
2830,0.0,0.0,12.0,13.0,1.0,1.0,0.0,0.0,2,6.0
3156,0.0,0.0,53.0,34.0,5.0,1.0,0.0,4.0,2,12.0
2105,2.0,0.0,175.0,143.0,0.0,0.0,0.0,0.0,2,24.0
6777,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2,1.0
2283,1.0,0.0,50.0,77.0,3.0,1.0,0.0,0.0,1,15.0
3390,0.0,0.0,72.0,16.0,1.0,0.0,0.0,1.0,2,10.0
5989,1.0,0.0,73.0,37.0,2.0,0.0,0.0,0.0,2,15.0
7175,1.0,0.0,64.0,55.0,6.0,0.0,0.0,1.0,2,15.0
3154,0.0,0.0,86.0,5.0,5.0,1.0,0.0,2.0,1,15.0
868,0.0,1.0,96.0,66.0,0.0,0.0,0.0,0.0,2,15.0
3003,0.0,0.0,29.0,41.0,5.0,0.0,0.0,0.0,1,15.0
3023,1.0,0.0,52.0,22.0,0.0,3.0,0.0,0.0,3,8.0
5791,2.0,0.0,70.0,29.0,1.0,0.0,0.0,0.0,1,9.0
3825,0.0,0.0,37.0,24.0,0.0,0.0,0.0,0.0,3,15.0
369,1.0,0.0,81.0,47.0,0.0,1.0,0.0,0.0,3,9.0
1444,0.0,0.0,53.0,76.0,8.0,0.0,1.0,0.0,2,15.0
5208,0.0,0.0,78.0,42.0,4.0,0.0,0.0,0.0,2,15.0
1796,0.0,0.0,128.0,131.0,1.0,0.0,0.0,0.0,1,25.0
7259,0.0,0.0,16.0,9.0,1.0,1.0,0.0,0.0,4,7.0
3623,0.0,0.0,43.0,21.0,1.0,1.0,3.0,0.0,1,15.0
1835,0.0,0.0,57.0,10.0,1.0,3.0,0.0,0.0,2,9.0
6210,1.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,2,2.0
850,0.0,0.0,45.0,11.0,1.0,4.0,1.0,0.0,2,15.0
2729,0.0,0.0,76.0,51.0,0.0,1.0,0.0,0.0,1,15.0
1198,0.0,0.0,84.0,47.0,0.0,1.0,0.0,0.0,1,10.0
175,0.0,0.0,74.0,54.0,1.0,1.0,1.0,0.0,1,15.0
4110,0.0,0.0,59.0,16.0,0.0,4.0,2.0,0.0,1,9.0
623,0.0,0.0,82.0,39.0,1.0,0.0,0.0,0.0,3,8.0
2112,0.0,0.0,55.0,53.0,2.0,3.0,0.0,0.0,3,15.0
4057,0.0,0.0,6.0,11.0,0.0,1.0,1.0,0.0,2,2.0
82,0.0,0.0,58.0,28.0,1.0,1.0,0.0,0.0,1,15.0
825,3.0,0.0,85.0,60.0,6.0,0.0,1.0,1.0,1,25.0
1039,0.0,0.0,2.0,19.0,1.0,1.0,1.0,0.0,3,3.0
3511,0.0,0.0,37.0,32.0,1.0,4.0,2.0,0.0,1,15.0
303,0.0,0.0,86.0,6.0,1.0,1.0,4.0,0.0,1,13.0
4144,1.0,0.0,25.0,8.0,2.0,0.0,0.0,0.0,3,5.0
1485,0.0,0.0,32.0,10.0,7.0,0.0,1.0,0.0,1,8.0
286,0.0,0.0,70.0,37.0,0.0,0.0,0.0,0.0,3,15.0
2047,1.0,0.0,27.0,23.0,1.0,1.0,1.0,0.0,1,15.0
7350,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,4,0.0
4559,1.0,0.0,20.0,16.0,0.0,0.0,1.0,0.0,3,5.0
5894,0.0,0.0,85.0,78.0,2.0,0.0,0.0,0.0,2,25.0
3614,0.0,1.0,69.0,63.0,2.0,0.0,1.0,0.0,1,15.0
1830,1.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,3,1.0
1281,0.0,0.0,73.0,27.0,3.0,0.0,0.0,0.0,2,15.0
6073,0.0,0.0,15.0,14.0,5.0,0.0,0.0,0.0,2,15.0
3974,1.0,0.0,5.0,7.0,1.0,1.0,0.0,3.0,2,5.0
3021,0.0,0.0,12.0,8.0,0.0,2.0,1.0,0.0,3,3.0
6205,0.0,2.0,22.0,25.0,5.0,2.0,1.0,0.0,3,13.0
4068,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1,0.0
2337,0.0,0.0,50.0,25.0,0.0,4.0,0.0,2.0,3,15.0
2027,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,3,4.0
4487,1.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,3,1.0
2666,0.0,0.0,22.0,13.0,1.0,0.0,0.0,0.0,4,4.0
3633,0.0,0.0,11.0,13.0,1.0,2.0,1.0,2.0,2,7.0
6775,1.0,0.0,29.0,12.0,0.0,0.0,2.0,0.0,2,6.0
2329,0.0,0.0,36.0,28.0,1.0,0.0,0.0,0.0,3,15.0
4271,0.0,0.0,59.0,18.0,1.0,0.0,0.0,0.0,3,10.0
5354,0.0,0.0,91.0,35.0,1.0,0.0,2.0,3.0,2,15.0
99,0.0,0.0,137.0,173.0,6.0,0.0,0.0,0.0,3,25.0
4362,0.0,0.0,43.0,44.0,0.0,0.0,0.0,0.0,3,15.0
751,0.0,0.0,8.0,2.0,1.0,0.0,1.0,0.0,1,1.0
6876,0.0,0.0,32.0,36.0,3.0,1.0,0.0,0.0,3,15.0
483,0.0,0.0,147.0,76.0,0.0,0.0,0.0,0.0,2,25.0
4921,0.0,0.0,16.0,19.0,2.0,0.0,3.0,0.0,3,15.0
7215,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2,1.0
5248,1.0,0.0,21.0,11.0,1.0,0.0,0.0,0.0,1,4.0
1166,0.0,0.0,82.0,31.0,0.0,0.0,0.0,0.0,1,9.0
6234,0.0,1.0,15.0,10.0,0.0,1.0,1.0,0.0,2,3.0
4805,0.0,0.0,22.0,7.0,0.0,1.0,0.0,0.0,2,5.0
1449,0.0,0.0,53.0,17.0,0.0,2.0,1.0,0.0,2,15.0
2438,0.0,0.0,90.0,52.0,0.0,0.0,0.0,0.0,2,15.0
4353,0.0,0.0,67.0,28.0,2.0,0.0,0.0,1.0,1,15.0
405,1.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,2,4.0
2217,0.0,0.0,15.0,5.0,4.0,0.0,0.0,0.0,3,2.0
958,0.0,0.0,30.0,37.0,2.0,1.0,0.0,0.0,1,25.0
4796,0.0,0.0,17.0,15.0,3.0,0.0,1.0,0.0,3,9.0
2086,1.0,0.0,19.0,16.0,1.0,0.0,0.0,1.0,1,15.0
5440,1.0,0.0,14.0,26.0,0.0,0.0,0.0,0.0,1,3.0
6712,1.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0,3,1.0
675,0.0,0.0,115.0,119.0,0.0,1.0,0.0,0.0,1,15.0
220,0.0,0.0,141.0,99.0,1.0,2.0,0.0,0.0,1,15.0
1980,0.0,0.0,67.0,47.0,7.0,0.0,0.0,0.0,1,15.0
3345,1.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,4,1.0
7326,0.0,0.0,20.0,14.0,0.0,5.0,3.0,0.0,3,6.0
2235,0.0,0.0,59.0,77.0,0.0,1.0,0.0,0.0,1,15.0
2657,0.0,0.0,66.0,33.0,2.0,0.0,0.0,0.0,1,15.0
1674,0.0,0.0,40.0,15.0,1.0,0.0,1.0,0.0,2,9.0
3799,0.0,0.0,41.0,31.0,0.0,0.0,0.0,0.0,1,15.0
4982,1.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,2,6.0
7496,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,0.0
2167,0.0,0.0,69.0,63.0,0.0,4.0,1.0,0.0,2,13.0
784,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3,0.0
2458,0.0,0.0,33.0,64.0,5.0,0.0,0.0,0.0,1,15.0
5330,0.0,0.0,16.0,23.0,0.0,1.0,5.0,0.0,1,11.0
4256,1.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,2,2.0
4517,0.0,0.0,25.0,5.0,1.0,1.0,0.0,0.0,4,4.0
1504,0.0,0.0,67.0,41.0,1.0,1.0,0.0,0.0,2,15.0
3530,0.0,0.0,50.0,18.0,1.0,6.0,2.0,0.0,2,15.0
5815,0.0,0.0,22.0,29.0,6.0,0.0,0.0,0.0,2,15.0
6173,1.0,0.0,50.0,8.0,0.0,0.0,0.0,0.0,3,7.0
5560,0.0,0.0,36.0,23.0,1.0,0.0,1.0,0.0,2,15.0
4309,0.0,0.0,30.0,20.0,1.0,0.0,1.0,0.0,2,12.0
520,0.0,0.0,103.0,97.0,1.0,0.0,0.0,0.0,2,15.0
3387,1.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,4,2.0
4795,0.0,0.0,50.0,49.0,2.0,0.0,0.0,0.0,2,15.0
4208,1.0,0.0,19.0,23.0,0.0,0.0,0.0,0.0,2,2.0
7274,0.0,1.0,10.0,8.0,6.0,0.0,2.0,1.0,4,25.0
7233,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,3,2.0
5171,0.0,0.0,81.0,38.0,2.0,0.0,0.0,1.0,2,15.0
1427,0.0,0.0,94.0,130.0,0.0,0.0,0.0,0.0,4,15.0
572,0.0,0.0,59.0,29.0,0.0,0.0,0.0,0.0,3,15.0
363,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1,0.0
3473,0.0,0.0,38.0,11.0,1.0,3.0,0.0,2.0,3,15.0
7234,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2,2.0
5954,0.0,0.0,50.0,33.0,5.0,1.0,0.0,0.0,3,15.0
4197,0.0,1.0,98.0,91.0,0.0,2.0,0.0,0.0,2,15.0
3363,1.0,0.0,104.0,55.0,0.0,0.0,0.0,0.0,2,14.0
766,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3,2.0
4006,0.0,0.0,29.0,56.0,0.0,2.0,2.0,0.0,2,11.0
6984,0.0,0.0,58.0,20.0,3.0,0.0,0.0,0.0,2,7.0
6034,0.0,0.0,49.0,6.0,5.0,0.0,3.0,0.0,3,15.0
4854,1.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,2,0.0
216,0.0,0.0,26.0,11.0,3.0,0.0,2.0,1.0,3,7.0
5174,1.0,0.0,43.0,26.0,1.0,1.0,0.0,0.0,2,12.0
6620,0.0,0.0,40.0,22.0,4.0,0.0,0.0,1.0,2,15.0
3177,0.0,0.0,41.0,7.0,1.0,0.0,0.0,2.0,2,15.0
5466,2.0,0.0,56.0,61.0,1.0,0.0,0.0,0.0,3,7.0
4659,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2,2.0
3500,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3,0.0
1486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0
2268,0.0,0.0,93.0,23.0,1.0,0.0,0.0,0.0,1,15.0
732,0.0,0.0,61.0,25.0,0.0,3.0,0.0,1.0,3,8.0
3899,1.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,1,0.0
49,1.0,0.0,39.0,38.0,4.0,3.0,0.0,0.0,2,10.0
5821,0.0,0.0,53.0,19.0,0.0,3.0,0.0,1.0,3,8.0
896,0.0,0.0,66.0,62.0,1.0,0.0,0.0,0.0,1,15.0
6509,0.0,0.0,69.0,55.0,0.0,1.0,0.0,0.0,2,15.0
2919,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,1,0.0
5133,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,3,4.0
6835,1.0,0.0,54.0,27.0,1.0,0.0,2.0,0.0,2,15.0
519,0.0,0.0,120.0,87.0,0.0,4.0,0.0,0.0,2,25.0
2975,0.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,3,3.0
3335,0.0,0.0,40.0,38.0,6.0,0.0,0.0,1.0,1,15.0
139,0.0,0.0,134.0,62.0,1.0,0.0,0.0,0.0,2,15.0
3338,0.0,0.0,82.0,92.0,1.0,0.0,1.0,0.0,2,15.0
3459,1.0,0.0,54.0,53.0,1.0,0.0,0.0,0.0,2,25.0
7188,1.0,0.0,5.0,12.0,0.0,1.0,0.0,5.0,3,7.0
3895,0.0,0.0,11.0,27.0,1.0,1.0,2.0,0.0,2,6.0
466,0.0,0.0,59.0,82.0,3.0,0.0,0.0,0.0,4,15.0
6849,0.0,0.0,13.0,13.0,10.0,0.0,0.0,0.0,4,15.0
1242,0.0,0.0,65.0,11.0,0.0,3.0,0.0,2.0,1,15.0
599,0.0,0.0,38.0,14.0,2.0,0.0,1.0,0.0,2,8.0
7301,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,2,1.0
453,0.0,0.0,88.0,37.0,4.0,0.0,0.0,4.0,2,15.0
6656,1.0,0.0,21.0,6.0,0.0,2.0,5.0,2.0,3,9.0
3576,0.0,1.0,54.0,23.0,5.0,0.0,0.0,0.0,1,15.0
5467,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,1,0.0
315,0.0,0.0,38.0,26.0,4.0,0.0,1.0,3.0,1,15.0
3426,0.0,0.0,50.0,37.0,1.0,2.0,3.0,1.0,1,13.0
7321,0.0,0.0,19.0,24.0,1.0,2.0,0.0,2.0,2,13.0
4501,1.0,0.0,63.0,24.0,0.0,3.0,0.0,0.0,2,13.0
6749,0.0,0.0,41.0,36.0,1.0,1.0,0.0,2.0,4,5.0
454,0.0,0.0,80.0,32.0,0.0,0.0,0.0,0.0,2,15.0
6005,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2,0.0
899,2.0,0.0,27.0,10.0,0.0,2.0,0.0,0.0,3,10.0
2789,2.0,0.0,45.0,17.0,0.0,0.0,0.0,0.0,1,4.0
665,0.0,0.0,66.0,65.0,4.0,0.0,0.0,0.0,2,15.0
1519,2.0,0.0,36.0,12.0,1.0,0.0,0.0,0.0,4,5.0
4346,1.0,0.0,49.0,17.0,3.0,0.0,1.0,0.0,2,11.0
6954,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2,3.0
1008,0.0,0.0,62.0,63.0,2.0,0.0,0.0,0.0,1,25.0
392,0.0,0.0,17.0,3.0,0.0,2.0,0.0,1.0,3,15.0
2354,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,3,1.0
1489,0.0,0.0,49.0,33.0,1.0,3.0,0.0,1.0,2,15.0
2264,1.0,0.0,91.0,60.0,1.0,1.0,0.0,0.0,1,15.0
6684,0.0,0.0,30.0,13.0,0.0,1.0,0.0,1.0,3,7.0
6694,0.0,0.0,29.0,6.0,2.0,4.0,1.0,4.0,2,15.0
6203,0.0,0.0,2.0,5.0,0.0,1.0,1.0,0.0,2,1.0
3380,0.0,0.0,23.0,1.0,1.0,0.0,0.0,1.0,3,2.0
6274,0.0,0.0,80.0,5.0,5.0,0.0,0.0,1.0,2,15.0
2998,0.0,0.0,23.0,9.0,0.0,2.0,1.0,0.0,1,8.0
2801,1.0,0.0,54.0,26.0,0.0,0.0,2.0,1.0,2,9.0
1941,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,1,0.0
765,0.0,0.0,101.0,80.0,0.0,1.0,1.0,0.0,2,17.0
707,0.0,0.0,28.0,14.0,0.0,0.0,0.0,0.0,2,5.0
6511,0.0,0.0,31.0,23.0,1.0,1.0,5.0,1.0,2,11.0
1304,0.0,0.0,90.0,86.0,0.0,1.0,0.0,0.0,2,15.0
6559,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2,0.0
2899,0.0,0.0,22.0,31.0,1.0,2.0,0.0,0.0,1,7.0
6221,0.0,0.0,60.0,15.0,2.0,0.0,2.0,0.0,3,15.0
4437,0.0,0.0,27.0,32.0,0.0,0.0,0.0,0.0,2,15.0
1925,0.0,0.0,107.0,46.0,1.0,2.0,0.0,0.0,1,15.0
5124,1.0,0.0,14.0,7.0,1.0,0.0,1.0,0.0,2,2.0
5163,0.0,0.0,25.0,38.0,6.0,0.0,0.0,0.0,2,15.0
371,0.0,0.0,72.0,36.0,1.0,0.0,0.0,0.0,2,15.0
1955,0.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,3,1.0
1160,0.0,1.0,103.0,74.0,1.0,0.0,0.0,0.0,1,15.0
7129,0.0,0.0,38.0,24.0,0.0,3.0,0.0,0.0,2,15.0
5193,0.0,0.0,22.0,35.0,1.0,2.0,1.0,0.0,2,9.0
6852,1.0,0.0,33.0,22.0,1.0,1.0,1.0,0.0,2,8.0
3036,0.0,0.0,28.0,20.0,9.0,0.0,0.0,1.0,2,15.0
7323,0.0,0.0,9.0,3.0,1.0,0.0,1.0,0.0,3,3.0
193,1.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,2,3.0
4736,0.0,0.0,87.0,65.0,0.0,2.0,0.0,0.0,2,25.0
4081,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2,0.0
174,1.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,2,1.0
1921,0.0,0.0,31.0,26.0,2.0,0.0,1.0,0.0,1,12.0
1108,0.0,0.0,29.0,45.0,11.0,0.0,1.0,0.0,3,15.0
7230,0.0,0.0,12.0,1.0,4.0,0.0,0.0,0.0,2,9.0
3754,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,4,0.0
2316,1.0,0.0,80.0,39.0,0.0,0.0,0.0,0.0,2,14.0
6481,1.0,1.0,40.0,42.0,1.0,0.0,0.0,0.0,4,15.0
7226,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,2,1.0
4940,1.0,0.0,49.0,39.0,0.0,1.0,1.0,2.0,2,15.0
4097,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,3,2.0
1173,1.0,0.0,90.0,65.0,0.0,0.0,0.0,0.0,2,15.0
4931,0.0,0.0,35.0,27.0,3.0,0.0,0.0,0.0,2,15.0
4614,1.0,0.0,32.0,20.0,0.0,1.0,0.0,0.0,4,8.0
3268,0.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,2,2.0
5535,1.0,0.0,18.0,19.0,1.0,0.0,0.0,0.0,2,4.0
5261,0.0,0.0,52.0,26.0,2.0,1.0,1.0,1.0,2,15.0
1676,0.0,0.0,70.0,23.0,1.0,4.0,0.0,1.0,2,15.0
511,0.0,0.0,64.0,48.0,1.0,0.0,1.0,0.0,2,9.0
166,0.0,0.0,39.0,76.0,3.0,0.0,0.0,0.0,4,15.0
6619,2.0,0.0,26.0,19.0,0.0,1.0,0.0,0.0,3,8.0
5116,0.0,0.0,116.0,28.0,6.0,0.0,2.0,0.0,1,15.0
3510,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,3,2.0
5188,0.0,0.0,36.0,65.0,0.0,1.0,0.0,0.0,2,15.0
5017,0.0,0.0,28.0,18.0,2.0,0.0,5.0,1.0,1,9.0
103,0.0,0.0,51.0,59.0,5.0,0.0,0.0,1.0,2,15.0
5314,0.0,1.0,49.0,34.0,2.0,0.0,0.0,0.0,3,15.0
5294,0.0,0.0,116.0,69.0,0.0,1.0,0.0,0.0,3,15.0
3498,1.0,0.0,45.0,28.0,0.0,2.0,1.0,0.0,1,15.0
1113,1.0,0.0,58.0,34.0,0.0,0.0,1.0,0.0,1,11.0
5344,0.0,1.0,62.0,38.0,2.0,0.0,0.0,0.0,3,15.0
1768,0.0,0.0,80.0,26.0,0.0,1.0,0.0,0.0,1,15.0
6640,1.0,0.0,26.0,16.0,2.0,1.0,3.0,0.0,2,15.0
4189,0.0,0.0,57.0,15.0,1.0,1.0,0.0,0.0,3,7.0
3225,1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,2,1.0
3504,0.0,0.0,31.0,27.0,2.0,0.0,4.0,0.0,2,9.0
2942,1.0,0.0,24.0,10.0,0.0,1.0,0.0,0.0,2,3.0
4905,3.0,0.0,77.0,31.0,1.0,3.0,0.0,0.0,2,15.0
1673,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3,2.0
152,0.0,0.0,9.0,4.0,1.0,0.0,0.0,1.0,3,1.0
4039,1.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,2,2.0
2507,0.0,0.0,30.0,34.0,2.0,1.0,2.0,0.0,1,7.0
1597,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0.0
6257,1.0,0.0,14.0,8.0,2.0,2.0,0.0,2.0,2,14.0
2576,0.0,0.0,47.0,17.0,1.0,3.0,0.0,1.0,1,15.0
3803,0.0,0.0,6.0,5.0,1.0,2.0,0.0,0.0,2,2.0
3376,1.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,3,0.0
5081,0.0,0.0,32.0,29.0,0.0,2.0,1.0,3.0,1,15.0
5456,0.0,1.0,74.0,91.0,0.0,0.0,0.0,0.0,2,15.0
3270,1.0,0.0,74.0,32.0,0.0,1.0,0.0,0.0,2,11.0
