,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,time
1657,0.0,0.0,15.0,2.0,0.0,2.0,0.0,0.0,3,1.0
296,0.0,0.0,10.0,10.0,2.0,1.0,1.0,0.0,1,8.0
1837,0.0,0.0,41.0,14.0,3.0,2.0,0.0,2.0,2,15.0
1733,0.0,0.0,13.0,9.0,0.0,0.0,1.0,0.0,2,4.0
5903,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
949,0.0,0.0,63.0,55.0,0.0,3.0,0.0,0.0,1,15.0
1646,1.0,0.0,30.0,9.0,0.0,2.0,0.0,0.0,1,3.0
5436,2.0,0.0,61.0,37.0,3.0,0.0,0.0,2.0,2,15.0
442,1.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,3,2.0
1391,1.0,0.0,33.0,9.0,0.0,1.0,0.0,0.0,4,7.0
856,0.0,0.0,102.0,85.0,2.0,0.0,0.0,0.0,1,15.0
6628,1.0,0.0,22.0,5.0,2.0,1.0,1.0,1.0,3,6.0
2687,0.0,0.0,60.0,58.0,5.0,0.0,0.0,0.0,2,15.0
4450,1.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,2,3.0
1455,1.0,0.0,98.0,80.0,0.0,0.0,0.0,0.0,2,11.0
7471,0.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,4,2.0
1490,0.0,0.0,9.0,6.0,2.0,0.0,1.0,0.0,3,4.0
1182,0.0,0.0,18.0,29.0,5.0,1.0,0.0,0.0,2,15.0
4213,1.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,1,1.0
6621,0.0,0.0,14.0,4.0,1.0,2.0,0.0,0.0,4,9.0
4833,0.0,0.0,91.0,54.0,0.0,1.0,0.0,0.0,1,15.0
5210,0.0,0.0,73.0,75.0,4.0,0.0,0.0,0.0,2,15.0
4897,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3,3.0
5112,1.0,0.0,32.0,17.0,3.0,0.0,1.0,0.0,2,10.0
5150,0.0,0.0,22.0,19.0,2.0,1.0,0.0,1.0,1,6.0
282,1.0,0.0,163.0,24.0,6.0,0.0,0.0,2.0,1,25.0
2230,1.0,0.0,60.0,32.0,2.0,0.0,0.0,0.0,1,15.0
4224,1.0,0.0,71.0,39.0,3.0,0.0,2.0,0.0,2,15.0
3280,0.0,1.0,36.0,26.0,7.0,0.0,2.0,0.0,3,13.0
4876,0.0,0.0,9.0,0.0,1.0,1.0,1.0,0.0,2,1.0
4941,1.0,0.0,72.0,69.0,2.0,0.0,0.0,0.0,3,15.0
6425,0.0,1.0,46.0,33.0,0.0,0.0,3.0,0.0,2,8.0
4294,0.0,0.0,3.0,7.0,3.0,0.0,1.0,0.0,2,2.0
5212,0.0,0.0,23.0,11.0,21.0,1.0,2.0,0.0,2,15.0
1997,0.0,0.0,51.0,57.0,2.0,0.0,1.0,0.0,3,15.0
1110,1.0,0.0,36.0,24.0,0.0,0.0,1.0,0.0,3,7.0
3070,0.0,0.0,3.0,19.0,1.0,1.0,1.0,0.0,1,4.0
5252,0.0,0.0,31.0,44.0,3.0,2.0,0.0,0.0,3,15.0
2203,0.0,0.0,74.0,54.0,1.0,1.0,0.0,0.0,1,15.0
5628,1.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,4,2.0
7165,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,2,2.0
5068,2.0,0.0,28.0,10.0,0.0,0.0,0.0,0.0,1,4.0
581,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,1,3.0
59,0.0,0.0,31.0,41.0,0.0,4.0,1.0,0.0,1,9.0
6026,0.0,0.0,18.0,3.0,2.0,0.0,0.0,2.0,3,3.0
794,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3,1.0
2731,1.0,0.0,41.0,31.0,0.0,0.0,0.0,0.0,2,3.0
6429,1.0,1.0,12.0,29.0,1.0,0.0,0.0,1.0,2,4.0
3953,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,3,2.0
4410,0.0,0.0,11.0,2.0,1.0,0.0,2.0,0.0,2,2.0
2195,0.0,0.0,64.0,72.0,0.0,0.0,0.0,0.0,3,15.0
5810,0.0,0.0,10.0,3.0,3.0,0.0,0.0,0.0,2,7.0
5904,1.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,2,11.0
1356,1.0,0.0,46.0,22.0,0.0,2.0,0.0,0.0,2,9.0
